DATE,WPU08
2019-08-01,235.5
2019-09-01,235.9
2019-10-01,235.3
2019-11-01,235.1
2019-12-01,235.5
2020-01-01,235.7
2020-02-01,238.0
2020-03-01,241.5
2020-04-01,236.5
2020-05-01,237.7
2020-06-01,243.3
2020-07-01,250.5
2020-08-01,265.0
2020-09-01,285.6
2020-10-01,279.2
2020-11-01,266.4
2020-12-01,274.7
2021-01-01,292.4
2021-02-01,300.1
2021-03-01,311.9
2021-04-01,326.1
2021-05-01,358.0
2021-06-01,360.6
2021-07-01,324.308
2021-08-01,300.876
2021-09-01,293.026
2021-10-01,297.671
2021-11-01,301.796
2021-12-01,319.323
2022-01-01,349.222
2022-02-01,359.934
2022-03-01,372.864
2022-04-01,356.444
2022-05-01,358.834
2022-06-01,334.275
2022-07-01,331.669
2022-08-01,329.173
2022-09-01,322.849
2022-10-01,317.617
2022-11-01,312.864
2022-12-01,308.076
2023-01-01,306.461
2023-02-01,306.273
2023-03-01,304.391
2023-04-01,303.175
